"Date","Price","Open","High","Low","Vol.","Change %"
"25/02/2024","40,829.1","40,724.4","41,010.1","40,464.1","0.08K","0.26%"
"24/02/2024","40,724.4","40,026.9","40,824.8","39,932.5","0.08K","1.74%"
"23/02/2024","40,026.9","40,519.9","40,683.7","39,884.6","0.17K","-1.22%"
"22/02/2024","40,519.9","41,014.3","41,110.9","40,312.6","0.14K","-1.23%"
"21/02/2024","41,022.8","41,392.7","41,493.7","40,157.4","0.24K","-0.93%"
"20/02/2024","41,409.6","41,141.4","41,813.5","40,189.8","0.21K","0.65%"
"19/02/2024","41,141.4","41,328.5","41,591.8","41,034.0","0.11K","-0.45%"
"18/02/2024","41,328.5","41,030.1","41,551.5","40,673.9","0.07K","0.73%"
"17/02/2024","41,030.1","41,289.9","41,343.0","40,199.4","0.18K","-0.63%"
"16/02/2024","41,289.9","41,196.2","41,690.6","40,966.0","0.12K","0.23%"
"15/02/2024","41,196.2","41,009.1","41,949.2","40,653.0","0.24K","0.46%"
"14/02/2024","41,009.1","39,499.2","41,403.2","39,074.9","0.34K","3.82%"
"13/02/2024","39,499.2","39,384.4","39,707.5","38,344.2","0.23K","0.29%"
"12/02/2024","39,384.4","37,833.2","39,782.7","37,310.1","0.28K","4.10%"
"11/02/2024","37,833.2","37,452.1","38,192.0","37,324.5","0.23K","1.02%"
"10/02/2024","37,452.1","36,750.4","37,845.7","36,600.0","0.16K","1.91%"
"09/02/2024","36,750.4","35,901.9","37,999.4","35,871.5","0.33K","2.36%"
"08/02/2024","35,901.9","35,110.3","36,140.9","35,099.3","0.20K","2.25%"
"07/02/2024","35,110.3","34,180.0","35,154.1","33,911.4","0.17K","2.75%"
"06/02/2024","34,170.6","34,034.5","34,452.2","33,908.1","0.10K","0.38%"
"05/02/2024","34,041.6","33,729.8","34,669.8","33,523.7","0.12K","0.92%"
"04/02/2024","33,729.8","34,028.7","34,111.7","33,498.7","0.06K","-0.88%"
"03/02/2024","34,028.7","34,164.7","34,282.3","33,914.8","0.06K","-0.40%"
"02/02/2024","34,164.7","33,790.2","34,320.0","33,576.1","0.10K","1.13%"
"01/02/2024","33,783.7","33,574.6","33,937.8","33,010.3","0.14K","0.62%"
"31/01/2024","33,574.6","33,836.7","34,384.3","33,340.6","0.19K","-0.77%"
"30/01/2024","33,836.7","34,059.3","34,578.3","33,625.6","0.23K","-0.65%"
"29/01/2024","34,059.3","33,109.1","34,142.1","32,982.8","0.20K","2.87%"
"28/01/2024","33,109.1","33,215.3","33,726.3","32,799.9","0.11K","-0.32%"
"27/01/2024","33,215.3","32,938.8","33,264.5","32,624.1","0.06K","0.84%"
